CODE	LABEL
HP:0410070	Increased level of ribitol in urine
HP:0000465	Webbed neck
HP:0410071	Increased level of ribitol in CSF
HP:0410068	Increased level of L-glutamic acid in blood
HP:0000466	Limited neck range of motion
HP:0000467	Neck muscle weakness
HP:0410069	Increased level of propylene glycol in blood
HP:0410066	Increased level of hippuric acid in urine
HP:0000468	Increased adipose tissue around the neck
HP:0410067	Increased level of L-fucose in urine
HP:0000470	Short neck
HP:0410064	Increased level of galactitol in red blood cells
HP:0000471	Gastrointestinal angiodysplasia
HP:0000472	Long neck
HP:0000473	Torticollis
HP:0000474	Thickened nuchal skin fold
HP:0000475	Broad neck
HP:0000476	Cystic hygroma
HP:0410074	Increased level of xylitol in urine
HP:0410075	Increased level of xylitol in CSF
HP:0000478	Abnormality of the eye
HP:0410072	Increased level of ribose in urine
HP:0000479	Abnormal retinal morphology
HP:0410073	Increased level of ribose in CSF
HP:0000480	Retinal coloboma
HP:0000481	Abnormal cornea morphology
HP:0000482	Microcornea
HP:0000483	Astigmatism
HP:0000484	Hyperopic astigmatism
HP:0000485	Megalocornea
HP:0000486	Strabismus
HP:0000488	Retinopathy
HP:0000490	Deeply set eye
HP:0000491	Keratitis
HP:0000492	Abnormal eyelid morphology
HP:0000493	Abnormal foveal morphology
HP:0000494	Downslanted palpebral fissures
HP:0000495	Recurrent corneal erosions
HP:0000496	Abnormality of eye movement
HP:0000498	Blepharitis
HP:0000499	Abnormal eyelash morphology
HP:0000501	Glaucoma
HP:0000502	Abnormal conjunctiva morphology
HP:0000503	Tortuosity of conjunctival vessels
HP:0000504	Abnormality of vision
HP:0000505	Visual impairment
HP:0000506	Telecanthus
HP:0000508	Ptosis
HP:0000509	Conjunctivitis
HP:0000510	Rod-cone dystrophy
HP:0000511	Vertical supranuclear gaze palsy
HP:0000512	Abnormal electroretinogram
HP:0000514	Slow saccadic eye movements
HP:0000517	Abnormality of the lens
HP:0000518	Cataract
HP:0000519	Developmental cataract
HP:0000520	Proptosis
HP:0000522	Alacrima
HP:0000523	Subcapsular cataract
HP:0000524	Conjunctival telangiectasia
HP:0000525	Abnormality iris morphology
HP:0000526	Aniridia
HP:0000527	Long eyelashes
HP:0000528	Anophthalmia
HP:0410134	Physical urticaria
HP:0000529	Progressive visual loss
HP:0410132	Increased level of L-pyroglutamic acid in urine
HP:0000531	Corneal crystals
HP:0000532	Abnormal chorioretinal morphology
HP:0000533	Chorioretinal atrophy
HP:0000534	Abnormal eyebrow morphology
HP:0000535	Sparse and thin eyebrow
HP:0000537	Epicanthus inversus
HP:0000538	Pseudopapilledema
HP:0000539	Abnormality of refraction
HP:0000540	Hypermetropia
HP:0000541	Retinal detachment
HP:0000542	Impaired ocular adduction
HP:0000543	Optic disc pallor
HP:0000544	External ophthalmoplegia
HP:0000545	Myopia
HP:0410151	Eosinophilic infiltration of the esophagus
HP:0000546	Retinal degeneration
HP:0000548	Cone/cone-rod dystrophy
HP:0000549	Abnormal conjugate eye movement
HP:0410144	Abnormal biotinidase level
HP:0000550	Undetectable electroretinogram
HP:0000551	Color vision defect
HP:0410145	Decreased biotinidase level
HP:0000552	Tritanomaly
HP:0000553	Abnormal uvea morphology
HP:0000554	Uveitis
HP:0000555	Leukocoria
HP:0000556	Retinal dystrophy
HP:0000557	Buphthalmos
HP:0000558	Rieger anomaly
HP:0000559	Corneal scarring
HP:0000561	Absent eyelashes
HP:0000563	Keratoconus
HP:0000564	Lacrimal duct atresia
HP:0000565	Esotropia
HP:0000567	Chorioretinal coloboma
HP:0000568	Microphthalmia
HP:0410175	Hyperketonemia
HP:0000570	Abnormal saccadic eye movements
HP:0000571	Hypometric saccades
HP:0000572	Visual loss
HP:0410170	Hippocampal atrophy
HP:0000573	Retinal hemorrhage
HP:0000574	Thick eyebrow
HP:0000575	Scotoma
HP:0000576	Centrocecal scotoma
HP:0000577	Exotropia
HP:0000579	Nasolacrimal duct obstruction
HP:0000580	Pigmentary retinopathy
HP:0000581	Blepharophimosis
HP:0000582	Upslanted palpebral fissure
HP:0000585	Band keratopathy
HP:0000586	Shallow orbits
HP:0000587	Abnormality of the optic nerve
HP:0000588	Optic nerve coloboma
HP:0000589	Coloboma
HP:0000590	Progressive external ophthalmoplegia
HP:0000591	Abnormal sclera morphology
HP:0000592	Blue sclerae
HP:0000593	Abnormal anterior chamber morphology
HP:0000594	Shallow anterior chamber
HP:0000597	Ophthalmoparesis
HP:0000598	Abnormality of the ear
HP:0000599	Abnormality of the frontal hairline
HP:0000600	Abnormality of the pharynx
HP:0000601	Hypotelorism
HP:0000602	Ophthalmoplegia
HP:0000603	Central scotoma
HP:0000605	Supranuclear gaze palsy
HP:0000606	Abnormality of the periorbital region
HP:0000607	Periorbital wrinkles
HP:0000608	Macular degeneration
HP:0000609	Optic nerve hypoplasia
HP:0000610	Abnormal choroid morphology
HP:0000612	Iris coloboma
HP:0000613	Photophobia
HP:0000614	Abnormal nasolacrimal system morphology
HP:0000615	Abnormal pupil morphology
HP:0000616	Miosis
HP:0000617	Abnormality of ocular smooth pursuit
HP:0000618	Blindness
HP:0000619	Impaired convergence
HP:0000620	Dacryocystitis
HP:0000621	Entropion
HP:0410219	Hypoplasia of mandible relative to maxilla
HP:0000622	Blurred vision
HP:0000623	Supranuclear ophthalmoplegia
HP:0000625	Eyelid coloboma
HP:0000627	Posterior embryotoxon
HP:0000629	Periorbital fullness
HP:0000630	Abnormal retinal artery morphology
HP:0000631	Retinal arterial tortuosity
HP:0000632	Lacrimation abnormality
HP:0000633	Decreased lacrimation
HP:0000634	Impaired ocular abduction
HP:0000635	Blue irides
HP:0000636	Upper eyelid coloboma
HP:0000637	Long palpebral fissure
HP:0000639	Nystagmus
HP:0000640	Gaze-evoked nystagmus
HP:0410246	Increased circulating IgD level
HP:0000641	Dysmetric saccades
HP:0000642	Red-green dyschromatopsia
HP:0410244	Abnormal circulating IgD level
HP:0000643	Blepharospasm
HP:0410242	Abnormal circulating IgG level
HP:0410243	Abnormal circulating IgM level
HP:0410240	Abnormal circulating IgA level
HP:0000646	Amblyopia
HP:0410241	Abnormal circulating IgE level
HP:0000647	Sclerocornea
HP:0000648	Optic atrophy
HP:0000649	Abnormality of visual evoked potentials
HP:0410255	Transient neutropenia
HP:0000650	Abnormal amplitude of pattern reversal visual evoked potentials
HP:0410252	Chronic neutropenia
HP:0000651	Diplopia
HP:0000652	Lower eyelid coloboma
HP:0000653	Sparse eyelashes
HP:0000654	Decreased light- and dark-adapted electroretinogram amplitude
HP:0000656	Ectropion
HP:0000657	Oculomotor apraxia
HP:0410263	Brain imaging abnormality
HP:0000658	Eyelid apraxia
HP:0000659	Peters anomaly
HP:0000660	Lipemia retinalis
HP:0410259	Hepatopulmonary fusion
HP:0000661	Palpebral fissure narrowing on adduction
HP:0000662	Nyctalopia
HP:0410256	Infection associated neutropenia
HP:0000664	Synophrys
HP:0000666	Horizontal nystagmus
HP:0000667	Phthisis bulbi
HP:0000668	Hypodontia
HP:0000670	Carious teeth
HP:0410279	Atrophic pituitary gland
HP:0000674	Anodontia
HP:0410276	Supraumbilical raphe
HP:0000675	Macrodontia of permanent maxillary central incisor
HP:0000676	Abnormality of the incisor
HP:0000677	Oligodontia
HP:0000678	Dental crowding
HP:0000679	Taurodontia
HP:0000680	Delayed eruption of primary teeth
HP:0000682	Abnormality of dental enamel
HP:0000683	Grayish enamel
HP:0000684	Delayed eruption of teeth
HP:0000685	Hypoplasia of teeth
HP:0410280	Pediatric onset
HP:0000687	Widely spaced teeth
HP:0000689	Dental malocclusion
HP:0000690	Agenesis of maxillary lateral incisor
HP:0000691	Microdontia
HP:0000692	Misalignment of teeth
HP:0410291	Negativism
HP:0000694	Shell teeth
HP:0000695	Natal tooth
HP:0000696	Delayed eruption of permanent teeth
HP:0000698	Conical tooth
HP:0000699	Diastema
HP:0000700	Periapical bone loss
HP:0000703	Dentinogenesis imperfecta
HP:0000704	Periodontitis
HP:0410310	Abnormality of neutrophil morphology in CSF
HP:0000705	Amelogenesis imperfecta
HP:0000706	Unerupted tooth
HP:0000707	Abnormality of the nervous system
HP:0410309	Alpha-aminoadipic aciduria
HP:0000708	Behavioral abnormality
HP:0000709	Psychosis
HP:0000710	Hyperorality
HP:0000711	Restlessness
HP:0000712	Emotional lability
HP:0000713	Agitation
HP:0000716	Depressivity
HP:0000717	Autism
HP:0000718	Aggressive behavior
HP:0000719	Inappropriate behavior
HP:0000720	Mood swings
HP:0000721	Lack of spontaneous play
HP:0410327	Dairy allergy
HP:0000722	Obsessive-compulsive behavior
HP:0000723	Restrictive behavior
HP:0000725	Psychotic episodes
HP:0000726	Dementia
HP:0000727	Frontal lobe dementia
HP:0000728	Impaired ability to form peer relationships
HP:0000729	Autistic behavior
HP:0000732	Inflexible adherence to routines or rituals
HP:0000733	Stereotypy
HP:0000734	Disinhibition
HP:0000735	Impaired social interactions
HP:0000736	Short attention span
HP:0000737	Irritability
HP:0000738	Hallucinations
HP:0000739	Anxiety
HP:0000740	Episodic paroxysmal anxiety
HP:0000741	Apathy
HP:0000742	Self-mutilation
HP:0000743	Frontal release signs
HP:0000744	Low frustration tolerance
HP:0000745	Diminished motivation
HP:0000746	Delusions
HP:0000748	Inappropriate laughter
HP:0000749	Paroxysmal bursts of laughter
HP:0000750	Delayed speech and language development
HP:0000751	Personality changes
HP:0000752	Hyperactivity
HP:0000756	Agoraphobia
HP:0000757	Lack of insight
HP:0000758	Impaired use of nonverbal behaviors
HP:0000759	Abnormal peripheral nervous system morphology
HP:0000762	Decreased nerve conduction velocity
HP:0000763	Sensory neuropathy
HP:0000764	Peripheral axonal degeneration
HP:0410362	Decreased O-mannosyl glycans on alpha-dystroglycan
HP:0000765	Abnormality of the thorax
HP:0000766	Abnormality of the sternum
HP:0000767	Pectus excavatum
HP:0000768	Pectus carinatum
HP:0000769	Abnormality of the breast
HP:0000771	Gynecomastia
HP:0000772	Abnormality of the ribs
HP:0000773	Short ribs
HP:0000774	Narrow chest
HP:0000775	Abnormality of the diaphragm
HP:0000776	Congenital diaphragmatic hernia
HP:0000777	Abnormality of the thymus
HP:0000778	Hypoplasia of the thymus
HP:0000782	Abnormality of the scapula
HP:0000786	Primary amenorrhea
HP:0000787	Nephrolithiasis
HP:0000789	Infertility
HP:0000790	Hematuria
HP:0000791	Uric acid nephrolithiasis
HP:0000793	Membranoproliferative glomerulonephritis
HP:0000794	IgA deposition in the glomerulus
HP:0000795	Abnormality of the urethra
HP:0000796	Urethral obstruction
HP:0000798	Oligospermia
HP:0000799	Renal steatosis
HP:0000800	Cystic renal dysplasia
HP:0000802	Impotence
HP:0000803	Renal cortical cysts
HP:0000804	Xanthine nephrolithiasis
HP:0000805	Enuresis
HP:0000807	Glandular hypospadias
HP:0000808	Penoscrotal hypospadias
HP:0000811	Abnormal external genitalia
HP:0000812	Abnormal internal genitalia
HP:0000813	Bicornuate uterus
HP:0000815	Hypergonadotropic hypogonadism
HP:0000816	Abnormality of Krebs cycle metabolism
HP:0000817	Poor eye contact
HP:0000818	Abnormality of the endocrine system
HP:0000819	Diabetes mellitus
HP:0000820	Abnormality of the thyroid gland
HP:0000821	Hypothyroidism
HP:0000822	Hypertension
HP:0000823	Delayed puberty
HP:0000824	Growth hormone deficiency
HP:0000825	Hyperinsulinemic hypoglycemia
HP:0000826	Precocious puberty
HP:0000828	Abnormality of the parathyroid gland
HP:0000829	Hypoparathyroidism
HP:0000830	Anterior hypopituitarism
HP:0000831	Insulin-resistant diabetes mellitus
HP:0000832	Primary hypothyroidism
HP:0000834	Abnormality of the adrenal glands
HP:0000835	Adrenal hypoplasia
HP:0000836	Hyperthyroidism
HP:0000837	Increased circulating gonadotropin level
HP:0000839	Pituitary dwarfism
HP:0000840	Adrenogenital syndrome
HP:0000841	Hyperactive renin-angiotensin system
HP:0000842	Hyperinsulinemia
HP:0000843	Hyperparathyroidism
HP:0000845	Growth hormone excess
HP:0000846	Adrenal insufficiency
HP:0000847	Abnormality of renin-angiotensin system
HP:0000848	Increased circulating renin level
HP:0000849	Adrenocortical abnormality
HP:0000851	Congenital hypothyroidism
HP:0000852	Pseudohypoparathyroidism
HP:0000853	Goiter
HP:0000854	Thyroid adenoma
HP:0000855	Insulin resistance
HP:0000857	Neonatal insulin-dependent diabetes mellitus
HP:0000858	Irregular menstruation
HP:0000859	Hyperaldosteronism
HP:0000860	Parathyroid hypoplasia
HP:0000863	Central diabetes insipidus
HP:0000864	Abnormality of the hypothalamus-pituitary axis
HP:0000866	Euthyroid multinodular goiter
HP:0000867	Secondary hyperparathyroidism
HP:0000868	Decreased fertility in females
HP:0000869	Secondary amenorrhea
HP:0000870	Increased circulating prolactin concentration
HP:0000871	Panhypopituitarism
HP:0000872	Hashimoto thyroiditis
HP:0000873	Diabetes insipidus
HP:0000875	Episodic hypertension
HP:0000876	Oligomenorrhea
HP:0000877	Insulin-resistant diabetes mellitus at puberty
HP:0000878	11 pairs of ribs
HP:0000879	Short sternum
HP:0000882	Hypoplastic scapulae
HP:0000883	Thin ribs
HP:0000884	Prominent sternum
HP:0000885	Broad ribs
HP:0000886	Deformed rib cage
HP:0000887	Cupped ribs
HP:0000888	Horizontal ribs
HP:0000889	Abnormality of the clavicle
HP:0000890	Long clavicles
HP:0000891	Cervical ribs
HP:0000892	Bifid ribs
HP:0000893	Bulging of the costochondral junction
HP:0000894	Short clavicles
HP:0000895	Lateral clavicle hook
HP:0000896	Rib exostoses
HP:0000897	Rachitic rosary
HP:0000900	Thickened ribs
HP:0000902	Rib fusion
HP:0000904	Flaring of rib cage
HP:0000905	Progressive clavicular acroosteolysis
HP:0000907	Anterior rib cupping
HP:0000910	Wide-cupped costochondral junctions
HP:0000911	Flat glenoid fossa
HP:0000912	Sprengel anomaly
HP:0000913	Posterior rib fusion
HP:0000914	Shield chest
HP:0000915	Pectus excavatum of inferior sternum
HP:0000916	Broad clavicles
HP:0000917	Superior pectus carinatum
HP:0000918	Scapular exostoses
HP:0000919	Abnormality of the costochondral junction
HP:0000920	Enlargement of the costochondral junction
HP:0000921	Missing ribs
HP:0000922	Posterior rib cupping
HP:0000923	Beaded ribs
HP:0000924	Abnormality of the skeletal system
HP:0000925	Abnormality of the vertebral column
HP:0000926	Platyspondyly
HP:0000927	Abnormality of skeletal maturation
HP:0000929	Abnormal skull morphology
HP:0000932	Abnormality of the posterior cranial fossa
HP:0000934	Chondrocalcinosis
HP:0000935	Thickened cortex of long bones
HP:0000938	Osteopenia
HP:0000939	Osteoporosis
HP:0000940	Abnormal diaphysis morphology
HP:0000941	Short diaphyses
HP:0000943	Dysostosis multiplex
